CustomerID,Annual_Contract_Value_USD,Tenure_Months,Industry,Num_Licenses,Avg_Daily_Active_Users_Pct,Key_Feature_Adoption_Score,Support_Tickets_Opened_90Days,Avg_Resolution_Time_Hours_90Days,CSM_Touchpoints_90Days,NPS_Score_Last_Survey,Payment_Delays_Last_Year,Contract_Type,Renewal_Status
CUST_00001,83796,11,Healthcare,242,0.4364501660776824,0.4057120923092419,1,2.8545435784623923,1,-19.0,0,Annual,1
CUST_00002,246055,41,Other,450,0.1314614783707407,0.004427746049745163,2,5.916539244696816,1,-1.0,0,Annual,1
CUST_00003,190665,17,Other,478,0.28513167721645505,0.5822832915695492,1,26.60263834560947,1,-24.0,0,Annual,1
CUST_00004,446661,9,Tech,95,0.43221947437439456,0.7520816103789576,3,30.21073494346752,0,27.0,0,Annual,1
CUST_00005,575088,22,Other,496,0.14131511992442558,0.4515398402307268,3,15.921863824685055,1,43.0,0,Annual,1
CUST_00006,43415,41,Other,11,0.6240305873994961,0.7621876285411585,2,32.798355821983584,0,-40.0,0,Annual,1
CUST_00007,59775,21,Retail,491,0.5699223386612865,0.784387614773499,3,36.25057871952602,0,50.0,0,Annual,1
CUST_00008,127715,46,Manufacturing,158,0.9425855330542321,0.028870675128633283,3,18.509530787490473,1,33.0,0,Annual,1
CUST_00009,78082,32,Other,7,0.2378135098051001,0.07144901000046466,1,28.20145359801171,1,-98.0,0,Monthly,1
CUST_00010,290727,16,Tech,478,0.6155129722494671,0.2386511173809056,3,40.76755047874288,1,86.0,0,Monthly,1
CUST_00011,124753,38,Manufacturing,280,0.8700145030496874,0.5601033685942924,0,2.944902504227225,2,62.0,0,Monthly,1
CUST_00012,109188,40,Finance,184,0.997140426524192,0.9684682753552054,5,10.44702370198852,1,99.0,0,Monthly,1
CUST_00013,251373,23,Finance,407,0.7286847266744539,0.2566770124585366,1,45.960356545172544,0,74.0,0,Annual,1
CUST_00014,133993,1,Other,268,0.7957063587454505,0.1647420128563204,1,31.577363950693712,0,42.0,0,Annual,1
CUST_00015,81957,25,Healthcare,434,0.8215583058296229,0.7900489098559869,2,15.59869983862972,1,15.0,0,Annual,1
CUST_00016,26255,6,Retail,28,0.31149405243694045,0.01504931059590453,1,14.709406625079577,1,49.0,0,Annual,0
CUST_00017,384694,22,Healthcare,491,0.6459982063843999,0.628881961206148,2,27.57021781754833,1,92.0,1,Monthly,1
CUST_00018,901993,25,Other,100,0.467794997639138,0.8936285063908921,0,21.26025656714139,0,32.0,1,Annual,1
CUST_00019,562294,1,Other,336,0.2638701912722007,0.1830631349730426,1,6.0423200375066,0,24.0,0,Multi-Year,1
CUST_00020,107209,10,Other,299,0.1668920784529792,0.7943629919757248,0,28.064195106650413,2,-24.0,0,Annual,0
CUST_00021,291188,32,Tech,325,0.7389863238730788,0.15920892868090286,3,26.306687349068078,0,11.0,0,Multi-Year,1
CUST_00022,39872,24,Manufacturing,19,0.20496753147793698,0.7924227754687017,1,44.85825281785277,0,,0,Multi-Year,0
CUST_00023,356428,7,Healthcare,284,0.8810012170868894,0.627239726695881,2,9.878485765281408,1,-92.0,0,Annual,1
CUST_00024,95093,21,Education,491,0.7589035529517543,0.7507871407138009,0,17.844895578259404,0,,1,Annual,1
CUST_00025,255838,28,Education,204,0.4061889357497105,0.5391243099176757,5,39.412953549729664,0,10.0,0,Annual,1
CUST_00026,212749,18,Healthcare,14,0.27066858711410763,0.06576485811569166,3,9.042464871922869,1,8.0,1,Monthly,1
CUST_00027,153655,10,Manufacturing,101,0.6240613526561297,0.9834666276786842,0,42.55694586596025,2,40.0,1,Multi-Year,1
CUST_00028,345183,2,Manufacturing,125,0.6061373324165725,0.17847999281089233,0,34.650914293807375,0,,0,Annual,1
CUST_00029,204035,46,Manufacturing,485,0.20118368922784852,0.4818149870752668,0,9.642259748630728,0,82.0,0,Monthly,1
CUST_00030,306637,46,Manufacturing,392,0.682417786247029,0.08942954704314332,3,22.218044075242606,0,-55.0,0,Annual,1
CUST_00031,39295,42,Tech,12,0.2038677134806957,0.10405695481274779,1,43.02547457577078,1,-97.0,1,Annual,1
CUST_00032,192912,32,Other,374,0.6441918372565346,0.14121165786610712,0,7.872670755121906,4,6.0,0,Annual,1
CUST_00033,43759,19,Healthcare,47,0.1666183078738306,0.11347589351418408,1,4.908135464751313,1,-56.0,0,Annual,1
CUST_00034,107151,35,Healthcare,324,0.35024707156554624,0.5044033301350649,1,46.755049541519845,2,52.0,0,Multi-Year,1
CUST_00035,66867,38,Healthcare,384,0.6983532216811372,0.6234025043983408,2,38.62208314696984,0,40.0,0,Monthly,1
CUST_00036,1060416,14,Retail,57,0.3530847621001416,0.9159366089544972,3,18.7768903790285,2,6.0,0,Multi-Year,1
CUST_00037,210848,44,Other,454,0.3018992064910941,0.5363281901325067,4,9.781353408242756,1,-36.0,1,Monthly,0
CUST_00038,90676,30,Healthcare,329,0.6822618970115835,0.8487708996305758,1,38.07111362885405,2,-10.0,0,Annual,1
CUST_00039,368190,36,Manufacturing,356,0.7102262132474435,0.3033461741397435,1,26.878571471337033,0,-38.0,0,Monthly,1
CUST_00040,203347,9,Other,440,0.55424561902509,0.019580626850580596,5,42.99679372924222,0,72.0,1,Annual,1
CUST_00041,197713,11,Other,38,0.7713573556766161,0.10759480937441157,1,6.516533885266041,3,16.0,1,Multi-Year,1
CUST_00042,15467,25,Other,47,0.32892911961970095,0.6282176229651492,4,4.749938109486522,2,-47.0,0,Annual,0
CUST_00043,86762,44,Healthcare,64,0.6281944752828393,0.9051534505852601,0,10.571605208954457,0,-18.0,0,Annual,1
CUST_00044,370144,16,Tech,36,0.8126716418193133,0.5356582006738327,3,21.51134443082913,1,-20.0,0,Multi-Year,1
CUST_00045,511406,14,Tech,225,0.5814866199959838,0.6175286133253087,3,23.752329625064032,0,,0,Annual,1
CUST_00046,204296,23,Retail,175,0.22125498075274402,0.23273682774911075,2,19.918681197744608,1,4.0,0,Annual,1
